latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
21.32899,-158.10893,336.42,0.36,0.58,2024-11-21,22,N,VIIRS,n,2.0NRT,299.08,2.25,D
21.32935,-158.10541,335.96,0.36,0.58,2024-11-21,22,N,VIIRS,n,2.0NRT,299.86,4,D
21.33183,-158.10986,326.44,0.36,0.58,2024-11-21,22,N,VIIRS,l,2.0NRT,298.54,1.54,D
21.33215,-158.10637,331.96,0.36,0.58,2024-11-21,22,N,VIIRS,n,2.0NRT,299.03,4.27,D
65.04295,56.66467,330.08,0.41,0.61,2024-11-21,45,N,VIIRS,n,2.0NRT,245.78,2.74,N
68.58795,58.05195,335.02,0.57,0.52,2024-11-21,45,N,VIIRS,n,2.0NRT,257.66,4.55,N
68.61584,57.9668,333.99,0.57,0.52,2024-11-21,45,N,VIIRS,n,2.0NRT,258.86,4.45,N
69.26525,57.28386,339.52,0.51,0.49,2024-11-21,45,N,VIIRS,n,2.0NRT,271.62,6.36,N
66.31374,14.16767,323.68,0.46,0.47,2024-11-21,47,N,VIIRS,n,2.0NRT,258.91,2.72,N
66.31438,14.1622,329.13,0.46,0.47,2024-11-21,47,N,VIIRS,n,2.0NRT,259.04,3.74,N
58.27666,6.89395,317.29,0.33,0.55,2024-11-21,49,N,VIIRS,n,2.0NRT,265.75,2.11,N
58.27683,6.88806,328.99,0.33,0.55,2024-11-21,49,N,VIIRS,n,2.0NRT,267.65,2.11,N
59.05767,9.64265,322.49,0.53,0.5,2024-11-21,49,N,VIIRS,n,2.0NRT,270.8,4.92,N
59.05815,9.63318,323,0.53,0.5,2024-11-21,49,N,VIIRS,n,2.0NRT,268.36,4.92,N
59.05877,9.63861,342.69,0.53,0.5,2024-11-21,49,N,VIIRS,n,2.0NRT,273.1,7.43,N
59.2736,5.51843,304.52,0.37,0.58,2024-11-21,49,N,VIIRS,n,2.0NRT,258.23,1.36,N
60.80273,1.43956,299.7,0.52,0.67,2024-11-21,49,N,VIIRS,n,2.0NRT,277.89,1.52,N
60.8029,1.44953,310.37,0.52,0.67,2024-11-21,49,N,VIIRS,n,2.0NRT,277.85,1.52,N
60.85336,1.46641,320.39,0.52,0.67,2024-11-21,49,N,VIIRS,n,2.0NRT,278.02,1.95,N
48.10788,17.19641,326.97,0.38,0.36,2024-11-21,52,N,VIIRS,n,2.0NRT,273.55,1.71,N
48.10867,17.19131,314.06,0.38,0.36,2024-11-21,52,N,VIIRS,n,2.0NRT,272.23,2.41,N
48.27311,14.34249,299.39,0.43,0.38,2024-11-21,52,N,VIIRS,n,2.0NRT,264.25,1.43,N
48.27383,14.33679,317.23,0.43,0.38,2024-11-21,52,N,VIIRS,n,2.0NRT,264.98,1.43,N
48.27584,14.34918,301.36,0.42,0.38,2024-11-21,52,N,VIIRS,n,2.0NRT,267.82,0.94,N
48.27729,14.33776,335.38,0.43,0.38,2024-11-21,52,N,VIIRS,n,2.0NRT,271.26,9.38,N
48.45698,17.19141,306.98,0.39,0.36,2024-11-21,52,N,VIIRS,n,2.0NRT,273.59,1.02,N
48.60435,21.18023,319.24,0.42,0.38,2024-11-21,52,N,VIIRS,n,2.0NRT,271.43,1.53,N
48.60771,21.18166,327.63,0.42,0.38,2024-11-21,52,N,VIIRS,n,2.0NRT,274.69,1.53,N
49.21614,16.77424,296.36,0.39,0.36,2024-11-21,52,N,VIIRS,n,2.0NRT,271.92,0.79,N
50.32899,19.28545,313.59,0.39,0.36,2024-11-21,52,N,VIIRS,n,2.0NRT,267.94,2.67,N
50.33224,19.28675,327.83,0.39,0.36,2024-11-21,52,N,VIIRS,n,2.0NRT,274.11,2.67,N
50.33549,19.28804,300.77,0.39,0.36,2024-11-21,52,N,VIIRS,n,2.0NRT,273.7,1.35,N
50.34155,19.33576,301.16,0.39,0.36,2024-11-21,52,N,VIIRS,n,2.0NRT,275.66,1.54,N
50.41477,18.1375,300.91,0.39,0.36,2024-11-21,52,N,VIIRS,n,2.0NRT,265.27,0.9,N
50.53413,17.97898,317.27,0.39,0.36,2024-11-21,52,N,VIIRS,n,2.0NRT,277.02,2.08,N
51.13774,23.54917,295.3,0.44,0.39,2024-11-21,52,N,VIIRS,n,2.0NRT,271.67,0.84,N
51.68903,15.97991,322.92,0.42,0.37,2024-11-21,52,N,VIIRS,n,2.0NRT,272.64,2.18,N
53.13294,8.67736,310.17,0.51,0.49,2024-11-21,52,N,VIIRS,n,2.0NRT,267.74,2.08,N
53.13753,8.67817,296.54,0.51,0.49,2024-11-21,52,N,VIIRS,n,2.0NRT,266.23,1.25,N
53.33937,-1.75651,295.07,0.69,0.74,2024-11-21,52,N,VIIRS,n,2.0NRT,269.49,1.36,N
53.52171,9.90633,324.46,0.46,0.47,2024-11-21,52,N,VIIRS,n,2.0NRT,272.35,1.93,N
53.52221,9.89927,302.93,0.46,0.47,2024-11-21,52,N,VIIRS,n,2.0NRT,272.99,1.93,N
41.26564,31.4223,299.71,0.56,0.69,2024-11-21,54,N,VIIRS,n,2.0NRT,282.62,1.14,N
41.26855,31.42498,297.19,0.56,0.69,2024-11-21,54,N,VIIRS,n,2.0NRT,283.02,0.82,N
43.43569,4.89327,296.99,0.62,0.54,2024-11-21,54,N,VIIRS,n,2.0NRT,276.38,2.97,N
43.43614,4.88542,319.62,0.62,0.54,2024-11-21,54,N,VIIRS,n,2.0NRT,278.13,4.65,N
43.43633,4.88702,317.01,0.62,0.54,2024-11-21,54,N,VIIRS,n,2.0NRT,277.58,5.61,N
43.4407,4.89386,295.05,0.62,0.54,2024-11-21,54,N,VIIRS,n,2.0NRT,275.58,1.51,N
44.54946,18.50878,299.77,0.4,0.37,2024-11-21,54,N,VIIRS,n,2.0NRT,271.81,1.12,N
44.55035,18.50381,323.98,0.4,0.37,2024-11-21,54,N,VIIRS,n,2.0NRT,274.04,2.14,N
45.14268,9.94307,330.71,0.56,0.43,2024-11-21,54,N,VIIRS,n,2.0NRT,272.85,5.83,N
45.14663,9.94388,337.94,0.56,0.43,2024-11-21,54,N,VIIRS,n,2.0NRT,280.9,13.42,N
45.45843,10.4575,323.13,0.54,0.42,2024-11-21,54,N,VIIRS,n,2.0NRT,273.49,2.55,N
45.4623,10.45835,326.89,0.54,0.42,2024-11-21,54,N,VIIRS,n,2.0NRT,273.65,2.55,N
45.47884,10.21228,311.99,0.55,0.43,2024-11-21,54,N,VIIRS,n,2.0NRT,274.37,1.95,N
45.50738,10.247,303.77,0.55,0.42,2024-11-21,54,N,VIIRS,n,2.0NRT,274.36,1.37,N
47.07105,8.26476,322.85,0.46,0.47,2024-11-21,54,N,VIIRS,n,2.0NRT,273.16,2,N
48.60873,6.11109,297.87,0.6,0.53,2024-11-21,54,N,VIIRS,n,2.0NRT,270.54,1.46,N
48.60956,6.10891,300.25,0.6,0.53,2024-11-21,54,N,VIIRS,n,2.0NRT,270.8,1.31,N
30.83866,28.66845,295.98,0.79,0.78,2024-11-21,56,N,VIIRS,n,2.0NRT,283.02,0.46,N
30.93388,27.56014,296.49,0.68,0.74,2024-11-21,56,N,VIIRS,n,2.0NRT,280.91,1.26,N
30.93541,27.55924,297.48,0.68,0.74,2024-11-21,56,N,VIIRS,n,2.0NRT,280.98,0.66,N
35.09484,5.64657,295.9,0.46,0.47,2024-11-21,56,N,VIIRS,n,2.0NRT,284.99,0.68,N
35.17188,9.30084,301.42,0.46,0.39,2024-11-21,56,N,VIIRS,n,2.0NRT,283.49,0.85,N
35.23201,8.17502,305.51,0.52,0.41,2024-11-21,56,N,VIIRS,n,2.0NRT,281.9,1.78,N
35.35026,5.76049,327.72,0.46,0.47,2024-11-21,56,N,VIIRS,n,2.0NRT,282.17,3.55,N
35.54987,6.86962,295.24,0.4,0.45,2024-11-21,56,N,VIIRS,n,2.0NRT,279.65,0.6,N
35.77614,9.89268,303.64,0.45,0.39,2024-11-21,56,N,VIIRS,n,2.0NRT,288,0.59,N
35.8037,-0.24329,297.87,0.5,0.66,2024-11-21,56,N,VIIRS,n,2.0NRT,286.18,0.92,N
35.80813,-0.34604,332.38,0.51,0.66,2024-11-21,56,N,VIIRS,n,2.0NRT,288.24,3.65,N
35.80938,-0.23174,298.71,0.5,0.66,2024-11-21,56,N,VIIRS,n,2.0NRT,286.22,2.6,N
35.80964,-0.23753,335.35,0.5,0.66,2024-11-21,56,N,VIIRS,n,2.0NRT,286.53,2.6,N
35.80989,-0.2433,316.75,0.5,0.66,2024-11-21,56,N,VIIRS,n,2.0NRT,285.89,3.12,N
35.81015,-0.24907,296.41,0.5,0.66,2024-11-21,56,N,VIIRS,n,2.0NRT,286.16,3.12,N
35.81039,-0.25469,352.78,0.5,0.66,2024-11-21,56,N,VIIRS,n,2.0NRT,287.61,8.7,N
